Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Clarke, C., Moran, J.A.","Climate, soils and vicariance - their roles in shaping the diversity and distribution of Nepenthes in Southeast Asia",2016,"Plant and Soil","403","1-2",,"37","51",,4,10.1007/s11104-015-2696-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944937457&doi=10.1007%2fs11104-015-2696-x&partnerID=40&md5=44c24c6c72dc909509b0abfa15d3304a",Review,,Scopus,2-s2.0-84944937457
"Ko, D., Yoo, G., Yun, S.-T., Chung, H.","Impacts of CO<inf>2</inf>leakage on plants and microorganisms: A review of results from CO<inf>2</inf>release experiments and storage sites",2016,"Greenhouse Gases: Science and Technology","6","3",,"319","338",,4,10.1002/ghg.1593,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961282144&doi=10.1002%2fghg.1593&partnerID=40&md5=779b6bba5baea75d46d80e6452ab1587",Review,,Scopus,2-s2.0-84961282144
"Penney, D.","Sub/fossil resin research in the 21st Century: trends and perspectives",2016,"Palaontologische Zeitschrift","90","2",,"425","447",,4,10.1007/s12542-016-0294-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960130835&doi=10.1007%2fs12542-016-0294-8&partnerID=40&md5=9ae94449949ba272e2bf5436215d2627",Review,,Scopus,2-s2.0-84960130835
"Frost, M., Bayliss-Brown, G., Buckley, P., Cox, M., Dye, S.R., Sanderson, W.G., Stoker, B., Withers Harvey, N.","A review of climate change and the implementation of marine biodiversity legislation in the United Kingdom",2016,"Aquatic Conservation: Marine and Freshwater Ecosystems","26","3",,"576","595",,4,10.1002/aqc.2628,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955559055&doi=10.1002%2faqc.2628&partnerID=40&md5=2eb3baf4b9d190dc5829a0bb1e8f00d5",Review,,Scopus,2-s2.0-84955559055
"Krapovickas, V., Mángano, M.G., Buatois, L.A., Marsicano, C.A.","Integrated Ichnofacies models for deserts: Recurrent patterns and megatrends",2016,"Earth-Science Reviews","157",,,"61","85",,4,10.1016/j.earscirev.2016.03.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971255029&doi=10.1016%2fj.earscirev.2016.03.006&partnerID=40&md5=5dfc50b8dab619412c43af6b64796380",Review,,Scopus,2-s2.0-84971255029
"Singh, S., Kumar, R., Bhardwaj, A., Sam, L., Shekhar, M., Singh, A., Kumar, R., Gupta, A.","Changing climate and glacio-hydrology in Indian Himalayan Region: A review",2016,"Wiley Interdisciplinary Reviews: Climate Change","7","3",,"393","410",,4,10.1002/wcc.393,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977962775&doi=10.1002%2fwcc.393&partnerID=40&md5=080b424b5152f18315821de9b3493b4c",Review,,Scopus,2-s2.0-84977962775
"Wu, J., Thompson, J., Zhang, H., Prasad, R.V., Guo, S.","Green communications and computing networks [Series Editorial]",2016,"IEEE Communications Magazine","54","5", 7470943,"106","107",,4,10.1109/MCOM.2016.7470943,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975263578&doi=10.1109%2fMCOM.2016.7470943&partnerID=40&md5=cb76098a1936dce0768a1769e201256b",Review,,Scopus,2-s2.0-84975263578
"Bjelke, U., Boberg, J., Oliva, J., Tattersdill, K., Mckie, B.G.","Dieback of riparian alder caused by the Phytophthora alni complex: Projected consequences for stream ecosystems",2016,"Freshwater Biology","61","5",,"565","579",,4,10.1111/fwb.12729,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963527884&doi=10.1111%2ffwb.12729&partnerID=40&md5=7b8424383d1f8a37de0f9ae0a08d7e59",Review,,Scopus,2-s2.0-84963527884
"Naficy, C.E., Keeling, E.G., Landres, P., Hessburg, P.F., Veblen, T.T., Sala, A.","Wilderness in the 21st century: A framework for testing assumptions about ecological intervention in wilderness using a case study of fire ecology in the rocky mountains",2016,"Journal of Forestry","114","3",,"384","395",,4,10.5849/jof.15-010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962731902&doi=10.5849%2fjof.15-010&partnerID=40&md5=24ac292ac766b58632e15492744fb638",Review,,Scopus,2-s2.0-84962731902
"Zhang, C.-J., He, J.-Z., Shen, J.-P.","Global change field manipulative experiments and their applications in soil microbial ecology",2016,"Chinese Journal of Applied Ecology","27","5",,"1663","1673",,4,10.13287/j.1001-9332.201605.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975519631&doi=10.13287%2fj.1001-9332.201605.010&partnerID=40&md5=97709a8c864d0f15bdf4dcac3747ef53",Review,,Scopus,2-s2.0-84975519631
